Mode,Name,Frequency
AM,CB ch. 1,26.965
AM,CB ch. 2,26.975
AM,CB ch. 3,26.985
AM,CB ch. 4,27.005
AM,CB ch. 5,27.015
AM,CB ch. 6,27.025
AM,CB ch. 7,27.035
AM,CB ch. 8,27.055
AM,CB ch. 9,27.065
AM,CB ch. 10,27.075
AM,CB ch. 11,27.085
AM,CB ch. 12,27.105
AM,CB ch. 13,27.115
AM,CB ch. 14,27.125
AM,CB ch. 15,27.135
AM,CB ch. 16,27.155
AM,CB ch. 17,27.165
AM,CB ch. 18,27.175
AM,CB ch. 19,27.185
AM,CB ch. 20,27.205
AM,CB ch. 21,27.215
AM,CB ch. 22,27.225
AM,CB ch. 23,27.255
AM,CB ch. 24,27.235
AM,CB ch. 25,27.245
AM,CB ch. 26,27.265
AM,CB ch. 27,27.275
AM,CB ch. 28,27.285
AM,CB ch. 29,27.295
LSB,CB ch. 30,27.305
LSB,CB ch. 31,27.315
LSB,CB ch. 32,27.325
LSB,CB ch. 33,27.335
LSB,CB ch. 34,27.345
LSB,CB ch. 35,27.355
LSB,CB ch. 36,27.365
LSB,CB ch. 37,27.375
LSB,CB ch. 38,27.385
LSB,CB ch. 39,27.395
LSB,CB ch. 40,27.405
FM,GMRS out/simplex,462.550
FM,GMRS out/simplex,462.575
FM,GMRS out/simplex,462.600
FM,GMRS out/simplex,462.625
FM,GMRS out/simplex,462.650
FM,GMRS out/simplex,462.675
FM,GMRS out/simplex,462.700
FM,GMRS out/simplex,462.725
FM,FRS ch. 1/GMRS,462.5625
FM,FRS ch. 2/GMRS,462.5875
FM,FRS ch. 3/GMRS,462.6125
FM,FRS ch. 4/GMRS,462.6375
FM,FRS ch. 5/GMRS,462.6625
FM,FRS ch. 6/GMRS,462.6875
FM,FRS ch. 7/GMRS,462.7125
FM,FRS ch. 8,467.5625
FM,FRS ch. 9,467.5875
FM,FRS ch. 10,467.6125
FM,FRS ch. 11,467.6375
FM,FRS ch. 12,467.6625
FM,FRS ch. 13,467.6875
FM,FRS ch. 14,467.7125
